Site_codes,Municipality,Postcode,Latitude,Longitude,Site_type,Detection_date,Observation_ID
EB,Lochristi,9080,51.112114,3.835928,PoE_lucky_bamboo_company,2018-05-01,51112114383592820180501
EB,Lochristi,9080,51.112114,3.835928,PoE_lucky_bamboo_company,2019-08-01,51112114383592820190801
PE6,Kortrijk,8510,50.79977123,3.253354384,PoE_parking_lot,2019-10-01,5079977123325335438420191001
PP1,Hoogstraten,2322,51.42031245,4.707284557,PoE_parking_lot,2022-08-01,5142031245470728455720220801
PP1,Hoogstraten,2322,51.42031245,4.707284557,PoE_parking_lot,2023-09-01,5142031245470728455720230901
PE5,Houyet,5564,50.143851,5.0797558,PoE_parking_lot,2018-08-01,501438515079755820180801
PE5,Houyet,5564,50.143851,5.07975sss58,PoE_parking_lot,2019-08-01,501438515079755820190801
PE5,Houyet,5564,50.143851,5.0797558,PoE_parking_lot,2022-08-01,501438515079755820220801
PE5,Houyet,5564,50.143851,5.0797558,PoE_parking_lot,2023-07-01,501438515079755820230701
PE0,Sprimont,4140,50.52438209,5.667869238,PoE_parking_lot,2019-10-01,5052438209566786923820191001
PE0,Sprimont,4140,50.52438209,5.667869238,PoE_parking_lot,2022-06-01,5052438209566786923820220601
PE0,Sprimont,4140,50.52438209,5.667869238,PoE_parking_lot,2023-09-01,5052438209566786923820230901
PE1,Eghezée,5310,50.60011458,4.791875522,PoE_parking_lot,2020-09-01,5060011458479187552220200901
PE1,Eghezée,5310,50.60011458,4.791875522,PoE_parking_lot,2023-09-01,5060011458479187552220230901
PE2,Messancy,6780,49.64380433,5.830465594ss,PoE_parking_lot,2018-06-01,4964380433583046559420180601
PE2,Messancy,6780,49.64380433,5.830465594,PoE_parking_lot,2023-08-01,4964380433583046559420230801
PE4,Raeren,4731,50.71798227,6.118305259,PoE_parking_lot,2023-09-01,5071798227611830525920230901
PE8,Saint-Ghislain,7330,50.45124685,3.804994463,PoE_parking_lot,2023-09-01,5045124685380499446320230901
AB,Beveren,9130,51.251278,4.217397,PoE_tyre_company,2018-05-01,51251278421739720180501
AB,Beveren,9130,51.251278,4.217397,PoE_tyre_company,2022-07-01,51251278421739720220701
BA,Frameries,7080,50.412581,3.923411,PoE_tyre_company,2018-06-01,50412581392341120180601
BO,Maasmechelen,3631,50.948989,5.747494,private house,2022-05-01,50948989574749420220501
GR,Grimbergen,1853,50.90980994,4.352269784,private house,2022-08-01,5090980994435226978420220801
HO,Hoegaarden,3320,50.77292725,4.897174338,private house,2022-09-01,5077292725489717433820220901
ME,Menen,8930,50.948989,5.747494,private house,2022-09-01,50948989574749420220901
WI1,Antwerpen,2610,51.16439595,4.396483818,private house,2022-08-01,5116439595439648381820220801
WI1,Antwerpen,2610,51.16439595,4.396483818,private house,2023-07-01,5116439595439648381820230701
AN,Antwerpen,2000,51.228719,4.414557,private house,2022-08-01,51228719441455720220801
LE1,Lebbeke,9280,51.00108341,4.142267741,private house,2022-08-01,5100108341414226774120220801
LE1,Lebbeke,9280,51.00108341,4.142267741,private house,2023-07-01,5100108341414226774120230701
WO1,Gent,9032,51.088865,3.714216,private house,2022-08-01,51088865371421620220801
WO1,Gent,9032,51.088865,3.714216,private house,2023-09-01,51088865371421620230901
DR1,Gent,9031,51.06696036,3.650121819,private house,2023-08-01,5106696036365012181920230801
EG1,Evergem,9940,51.10671,3.70924,private house,2023-08-01,511067137092420230801
KL1,Leuven,3010,50.89214,4.71069,private house,2023-08-01,508921447106920230801
LV1,Leuven,3000,50.88427328,4.707897109,private house,2023-09-01,5088427328470789710920230901
PS1,Puurs-Sint-Amands,2870,51.03975,4.3264,private house,2023-08-01,51039754326420230801
GZ1,Oosterzele,9860,50.96945669,3.812921185,private house,2023-08-01,5096945669381292118520230801
"AA1, AA2",Aat,7800,50.61818106,3.77445666,private house,2023-08-01,506181810637744566620230801
KB1,Kapelle-op-den-Bos,1880,51.0162298,4.370946722,private house,2023-09-01,510162298437094672220230901
RD1,Roosdaal,1760,50.84486731,4.06454377,private house,2023-09-01,508448673140645437720230901
ME1,Melle,9090,50.997811,3.80136,private house,2023-09-01,5099781138013620230901
WD1,Aarschot,3201,51.02830564,4.920479229,private house,2023-09-01,5102830564492047922920230901
OU1,Oudenaarde,9700,50.850963,3.605615,private house,2023-09-01,50850963360561520230901
SB1,Schaarbeek,1030,50.851478,4.400137,private house,2023-09-01,50851478440013720230901
HS1,Herstal,4040,50.66830497,5.626946574,private house,2023-09-01,5066830497562694657420230901
SC1,Schelle,2627,51.124595,4.341831,private house,2023-10-01,51124595434183120231001
